PID,Time_Bin,Mean_RSSI,Median_RSSI,Std_RSSI,Var_RSSI,Max_RSSI,Min_RSSI,Mean_Time_Interval,Std_Time_Interval,Unique_Locations,RSSI_Count,Counterfeit
PID003,2019-07-31 11:41:00,-64.71793338024865,-64.0,0.8475371420108035,0.9861937000370211,-54.0,-78.0,1.0144642857142856,0.004095907106668211,1,2968.0,0
PID002E,2019-07-30 15:21:00,-64.22751103754001,-64.0,0.9698713050700152,1.0183174709455258,-55.0,-77.0,0.8773428667598557,0.0032732683535399076,3,2041.8212714370761,1
PID001,2019-07-24 10:06:30,-64.52472757981911,-64.0,1.4243703882969379,3.4161314114594052,-54.0,-78.0,1.0675185185185185,0.056538190204205814,2,3789.0,0
PID004,2019-07-31 15:44:30,-64.55012168967927,-64.5,0.9980573700905954,1.4728375554660524,-54.0,-78.0,1.0148214285714288,0.005416391934424775,1,2984.0,0
PID002C,2019-07-30 13:13:30,-65.06652486187787,-65.0,0.8982071005628736,1.0312997695123605,-54.0,-77.0,1.03323991589174,0.002706058263000141,2,2842.64442028039,1
PID002C,2019-07-30 13:11:00,-64.64794952174262,-65.0,0.8108096102895742,0.851288114184666,-54.0,-76.0,1.0121724137931034,0.005542491481514431,1,3199.0,0
PID001,2019-07-24 10:12:30,-64.42745991294737,-64.0,1.1877802634009722,2.436480909316434,-54.0,-78.0,1.0513571428571429,0.03841702389394219,2,4004.0,0
PID001,2019-07-24 10:16:30,-64.51834189288336,-64.0,1.215840551437123,2.504483107990078,-54.0,-78.0,1.0575357142857145,0.04477721158411586,1,3989.0,0
PID004,2019-07-31 16:19:00,-64.39567307692307,-64.0,1.288310426204558,2.7146932477336985,-55.0,-78.0,1.0106071428571428,0.003965959654211835,2,2944.0,0
PID002C,2019-07-30 13:17:00,-64.6149772346034,-65.0,1.2109032550789,2.259085913549336,-54.0,-76.0,1.0127931034482758,0.005009842529210652,3,3086.0,0
PID002E,2019-07-30 14:56:30,-64.1890034364261,-64.0,0.8705128014336977,1.0669747600426591,-53.0,-77.0,1.0119310344827586,0.005848876781563394,1,2910.0,0
PID004,2019-07-31 16:06:00,-64.38737864077669,-64.5,0.7473286484534389,0.7614440352639213,-55.0,-77.0,1.0113793103448274,0.004178292483637044,1,3050.0,0
PID002D,2019-07-30 14:01:30,-64.44749851405658,-64.0,1.170090930508087,2.1192813849165484,-54.0,-77.0,1.0109642857142858,0.004022917154735155,2,2932.0,0
PID006,2019-08-01 15:45:00,-64.17484737484737,-63.0,0.9582261898133689,1.2446017430845018,-53.0,-77.0,1.0109655172413792,0.004313457004543946,2,3128.0,0
PID002E,2019-07-30 14:54:30,-64.33957065584856,-64.25,0.9305360779587268,1.1785043872358383,-53.0,-77.0,1.0130689655172413,0.005867166719993323,1,3011.0,0
PID002C,2019-07-30 13:07:00,-64.39056865464632,-65.0,1.23801297058067,2.2408530104946456,-54.0,-75.0,1.0111379310344828,0.0032920264919416107,1,2997.0,0
PID001,2019-07-24 09:40:00,-64.53536089098309,-64.0,1.3314025751646366,3.1446088875784737,-54.0,-78.0,1.0141071428571429,0.005258779507144404,2,3983.0,0
PID001,2019-07-24 09:43:30,-64.64002781202393,-64.0,1.4678551545239948,3.435518930632536,-54.0,-78.0,1.014655172413793,0.006280786245532397,2,4197.0,0
PID002E,2019-07-30 15:16:30,-64.68477564102565,-64.0,0.850747810652462,0.9184776430466085,-54.0,-77.0,1.009344827586207,0.0024242209657208192,1,3053.0,0
PID002B,2019-07-30 12:11:00,-64.597170781893,-65.0,0.9227119421731004,1.1310560909219913,-55.0,-77.0,1.0118620689655176,0.004485883715541416,4,3106.0,0
PID006,2019-08-01 15:20:00,-64.06742007147686,-64.0,0.9280659099420517,1.2752852098693883,-53.0,-78.0,1.01225,0.005358447812843088,1,2934.0,0
PID003,2019-07-31 11:55:00,-64.71124731751772,-65.0,0.791344324143165,0.802244504180301,-54.0,-78.0,1.0118571428571428,0.005176258377790923,1,2952.0,0
PID006,2019-08-01 15:55:30,-62.670675600093475,-63.75,0.9985310886647756,1.0811495986546695,-54.0,-75.0,1.0714992087000026,0.004453923935547769,2,2704.385250567963,1
PID006,2019-08-01 15:57:00,-64.25247524752476,-64.0,0.8354881280819306,0.9354614771822009,-55.0,-78.0,1.0105172413793104,0.004540458517242276,1,3030.0,0
PID003,2019-07-31 12:17:00,-64.76598631675624,-65.0,1.0419078856355612,1.921888041953183,-53.0,-78.0,1.0119655172413793,0.004806860860275581,3,3166.0,0
PID002E,2019-07-30 15:00:30,-64.37619047619047,-64.0,1.0318711154054239,1.7529204785362418,-53.0,-77.0,1.0096896551724137,0.002620025194478957,1,2929.0,0
PID002C,2019-07-30 13:13:30,-64.68144258146155,-65.0,0.8332334117584639,1.0312997695123605,-54.0,-77.0,1.0102857142857142,0.002706058263000141,1,3044.0,0
PID002C,2019-07-30 13:13:00,-64.54977558839627,-65.0,0.8933089226582115,1.0889873190655572,-54.0,-78.0,1.0118275862068964,0.005581019911381053,1,3127.0,0
PID002C,2019-07-30 13:01:30,-64.55863620629977,-65.0,0.8714261631187532,0.9411591392577534,-54.0,-76.0,1.0133793103448274,0.006488527199733004,1,3162.0,0
PID002B,2019-07-30 11:55:30,-64.47111111111111,-65.0,0.8979303220760488,1.1217296113847839,-54.0,-76.0,1.0104137931034483,0.0032460662058571804,1,3077.0,0
